School name,Suburb,What's happening?,Project type,coordinates x,coordinates y
Merrifield North Modular Kindergarten,Mickleham,Building Blocks Capacity Grant – Modular Kindergarten,Early childhood projects,144.9074694,-37.5282254
Merrijig Primary School,Merrijig,Minor Capital Works Fund,School upgrades,146.2570613,-37.1029993
Merrivale Primary School,Warrnambool,Upgrade and Modernisation,School upgrades,142.4560183,-38.3780628
Methodist Ladies College - Kindle,Kew,Early Childhood Refurbishment and Minor Works,Early childhood projects,145.0387396,-37.8137016
Metung Primary School,Metung,Minor Capital Works Fund,School upgrades,147.8523406,-37.8826904
Mickleham North Community Centre,Mickleham,Integrated Children’s Centre,Early childhood projects,144.907214,-37.5281635
Mickleham Primary School,Mickleham,Upgrade and Modernisation,School upgrades,144.878769,-37.5633237
Mickleham Secondary College,Mickleham,New School – Additional Stage | New School,New schools,144.9019142,-37.527046
Mickleham South Community Centre,Mickleham,Building Blocks Partnership | Building Blocks Capacity Building Grant - Integrated Children's Centre,Early childhood projects,144.8913118,-37.5427835
Middle Indigo Primary School,Indigo Valley,Minor Capital Works Fund,School upgrades,146.7249821,-36.1561426
Middle Park Primary School,Middle Park,Upgrade and Modernisation,School upgrades,144.9578213,-37.8476804
Middleton Drive Kindergarten,Point Cook,Building Blocks Capacity Grant – Modular Kindergarten Building,Early childhood projects,144.758161,-37.9099272
Milawa Primary School,Milawa,Inclusive Schools Fund - Round 7,School upgrades,146.4324757,-36.4445284
Mildura Primary School,Mildura,Inclusive Schools Fund - Round 9,School upgrades,142.1613021,-34.1942391
Mildura Senior College,Mildura,Minor Capital Works Fund,School upgrades,142.1441469,-34.1977208
Mildura West Primary School,Mildura,Minor Capital Works Fund | Upgrade and Modernisation,School upgrades,142.1513862,-34.1794783
Milgate Primary School,Doncaster East,Minor Capital Works Fund | Inclusive Schools Fund,School upgrades,145.1753479,-37.7739837
Mill Park Heights Child Care Centre,Mill Park,Building Blocks Improvement Grant - Upgrade,Early childhood projects,145.0551511,-37.6583366
Mill Park Heights Primary School,Mill Park,Upgrade and Modernisation,School upgrades,145.0511947,-37.6569188
Mill Park Primary School,Mill Park,Minor Capital Works Fund,School upgrades,145.0659087,-37.6742517
Mill Park Secondary College,Mill Park,Upgrade and Modernisation,School upgrades,145.0624307,-37.6643828
Milleara Gardens Kindergarten,Keilor East,Building Blocks Partnership,Early childhood projects,144.855289,-37.7464279
Millgrove Preschool,Millgrove,Building Blocks Improvement Grant - Early Learning Facility Upgrade,Early childhood projects,145.6506674,-37.7532738
Minaret College – Officer campus,Officer,Building Fund for Non-Government Schools – Islamic Stream,Non-government grants,145.4112938,-38.0533667
Minaret Early Learning Centre,Officer,Early Learning Facility Upgrade,Early childhood projects,145.1470755,-37.9397475
Mindalk Primary School,Truganina,New School,New schools,144.7107421,-37.8401888
Miners Rest Primary School,Miners Rest,Upgrade and Modernisation,School upgrades,143.794208,-37.4772638
Mirboo North Early Learning Centre,Mirboo North,Building Blocks Planning Grant,Early childhood projects,146.1584419,-38.40137319999999
Mirboo North Primary School,Mirboo North,Capital Works Fund | Inclusive Schools Fund,School upgrades,146.1506754,-38.4008297
Mirniyan Primary School,Clyde North,New School,New schools,145.3384339,-38.1017392
Mirniyan Primary School Kindergarten (interim name),Clyde North,Kindergarten on a School Site,Early childhood projects,145.3384339,-38.1017392
Mirripoa Primary School,Mount Duneed,New School,New schools,144.3284499,-38.2249212
Mitchell Park Kindergarten,Hamilton,Building Blocks Improvement Grant | Early Childhood Refurbishment and Minor Works | Building Blocks Inclusion Grant – Buildings and Playgrounds,Early childhood projects,142.0325921,-37.75350150000001
Mitchell Shire Council Kindergarten Infrastructure Planning Project,,Building Blocks Planning | Building Blocks Planning Grant - Wallan East Kindergarten and Bald Hill Kindergarten,Early childhood projects,145.0493375,-37.1847484
Moe (South Street) Primary School,Moe,Schools Upgrade Fund | Permanent Modular School Buildings Program,School upgrades,146.2593633,-38.1831025
Moe Primary School,Moe,Upgrade and Modernisation,School upgrades,146.2544694,-38.18429440000001
Molesworth Street Kindergarten,North Melbourne,Kindergarten on a School Site,Early childhood projects,144.9476278,-37.7977683
Monash Children's Hospital School,Clayton,New School,New schools,145.1240273,-37.9194974
Monash Special Developmental School,Wheelers Hill,Upgrade and Modernisation - Next Stage | Upgrade and Modernisation,School upgrades,145.165935,-37.90685
Monash Tech School,Clayton,Tech Schools,Tech schools,145.1341071,-37.9141001
Monbulk College,Monbulk,Upgrade and Modernisation - Stage 3 | Upgrade and Modernisation - Stage 1 and 2,School upgrades,145.4274198,-37.8834539
Monbulk Primary School,Monbulk,Upgrade and Modernisation | School Improvement Fund,School upgrades,145.4103617,-37.87678
Monmia Primary School,Keilor Downs,Capital Works Fund | Upgrade and Modernisation | School Pride and Sports Fund,School upgrades,144.7930901,-37.7172127
Mont Albert Primary School,Mont Albert,Permanent Modular School Buildings Program,School upgrades,145.1026375,-37.8128023
Montague Continuing Education Centre,South Melbourne,Upgrade and Modernisation,School upgrades,144.9495432,-37.8303479
Monterey Secondary College,Frankston North,"Upgrade and Modernisation - Frankston North Education Plan | Upgrade and Modernisation - Learning Centre, Senior Wing & Library",School upgrades,145.147705,-38.1267852
Montgomery Park Kindergarten,Essendon,Building Blocks Partnership,Early childhood projects,144.9313844,-37.7551397
Montmorency Primary School,Montmorency,Upgrade and Modernisation | School Improvement Fund,School upgrades,145.1210974,-37.7177517
Montmorency Secondary College,Montmorency,Upgrade and Modernisation - Sports Complex | Upgrade and Modernisation,School upgrades,145.11431,-37.7140195
Montmorency South Primary School,Montmorency,Inclusive Schools Fund - Round 6 | Upgrade and Modernisation | Inclusive Schools Fund,School upgrades,145.1289609,-37.7245488
Montrose Primary School,Montrose,Capital Works Fund | Upgrade and Modernisation,School upgrades,145.3443919,-37.808503
Moolap Primary School,Moolap,Minor Capital Works Fund | Upgrade and Modernisation,School upgrades,144.4242553,-38.1708106
Moomba Park Kindergarten,Fawkner,Building Blocks Inclusion Grant,Early childhood projects,144.968443,-37.695114
,,Capital Works Fund | Inclusive Schools Fund – Round 8,School upgrades,143.3906074,-36.9847807
Moonambel Primary School,Moonambel,Inclusive Schools Fund,School upgrades,143.32051,-36.990134
Moonee Ponds Primary School,Moonee Ponds,Upgrade and Modernisation | Minor Capital Works Fund,School upgrades,144.9330379,-37.76329
Moonee Ponds West Primary School,Moonee Ponds,Upgrade and Modernisation – Infant School | Inclusive Schools Fund | Upgrade and Modernisation,School upgrades,144.9086864,-37.7688288
Moonee Valley City Council Kindergarten Infrastructure Planning Project,,Building Blocks Planning — Coronation Street Kindergarten and Airport West Kindergarten | Building Blocks Planning — Essendon North Kindergarten and Montgomery Park Kindergarten,Early childhood projects,144.9061342,-37.7465015
Moorabbin Primary School,Moorabbin,Upgrade and Modernisation,School upgrades,145.0393308,-37.9416993
Moorooduc Primary School,Moorooduc,Inclusive Schools Fund | School Improvement Fund,School upgrades,145.1050872,-38.2483406
Mooroolbark College,Mooroolbark,Upgrade and Modernisation,School upgrades,145.3155207,-37.7742069
Mooroolbark East Primary School,Mooroolbark,"Capital Works Fund | Inclusive Schools Fund – Round 9 | Minor Capital Works Fund | Upgrade and Modernisation, School Improvement Fund",School upgrades,145.3358198,-37.7872792
Mooroopna Children and Families Centre,Mooroopna,New Integrated Early Learning Centre,Early childhood projects,145.3558843,-36.3949921
,,Early Learning Facility Upgrade,Early childhood projects,143.3906074,-36.9847807
Mooroopna North Primary School,Mooroopna,Minor Capital Works Fund,School upgrades,145.298645,-36.3289184
Mooroopna Park Primary School,Mooroopna,Minor Capital Works Fund | Upgrade and Modernisation,School upgrades,145.3466339,-36.3791885
Mooroopna Primary School,Mooroopna,Schools Upgrade Fund | Inclusive Schools Fund - Round 9,School upgrades,145.3613634,-36.3919791
Morang South Primary School,South Morang,Inclusive Schools Fund – Round 8,School upgrades,145.0954176,-37.6525022
Mordialloc Beach Primary School,Mordialloc,Upgrade and Modernisation | School Pride and Sports Fund,School upgrades,145.0884515,-38.0053998
Mordialloc College,Mordialloc,Upgrade and Modernisation – next stage | Minor Capital Works Fund | Upgrade and Modernisation - Year 8 and Year 12 Learning Centres | Inclusive Schools Fund - Round 6 | Upgrade and Modernisation,School upgrades,145.093114,-38.0116293
Moreland Kindergarten,Coburg,Building Blocks Capacity Grant - Expansion,Early childhood projects,144.9666851,-37.7556422
Moresby Avenue Child Care & Early Learning Centre,Bulleen,Building Blocks Improvement Grant,Early childhood projects,145.0939043,-37.7754678
Moriac Kindergarten,Moriac,Building Blocks Planning Grant,Early childhood projects,144.1720585,-38.24293470000001
Mornington Area - Planning and Provision Study,Mornington,Planning,Planning projects,145.0600448,-38.22882
Mornington Park Primary School,Mornington,Minor Capital Works Fund | Inclusive Schools Fund - Round 7 | Inclusive Schools Fund,School upgrades,145.0581115,-38.22601969999999
Mornington Peninsula Shire Council Kindergarten Infrastructure Planning Project,,Building Blocks Planning,Early childhood projects,145.093449,-38.2854053
Mornington Primary School,Mornington,"Upgrade and Modernisation, School Improvement Fund",School upgrades,145.043092,-38.221914
Mornington Secondary College,Mornington,Schools Upgrade Fund | Inclusive Schools Fund,School upgrades,145.0582929,-38.21784950000001
Mornington Special Developmental School,Mornington,Upgrade and Modernisation,School upgrades,145.0573236,-38.2262509
Morobe Street Child Day Care Centre,Heidelberg West,Building Blocks Inclusion Grant,Early childhood projects,145.0398273,-37.7396535
Mortlake P-12 College,Mortlake,Permanent Modular School Buildings Program | Upgrade and Modernisation,School upgrades,142.8112335,-38.0862655
Morwell Central Primary School,Morwell,New School,New schools,146.4066837,-38.231838
Morwell Park Kindergarten,Morwell,Building Blocks Inclusion Grant,Early childhood projects,146.4232474,-38.22852
Morwell Park Primary School,Morwell,Upgrade and Modernisation - Kinder on a School Site - Colman Partnership | Upgrade and Modernisation,"Early childhood projects, School upgrades",146.4248356,-38.2275603
Mossfiel Primary School,Hoppers Crossing,Minor Capital Works Fund,School upgrades,144.696341,-37.872891
Mossgiel Park Primary School,Endeavour Hills,Minor Capital Works Fund | Inclusive Schools Fund,School upgrades,145.2667612,-37.9686908
Mount Alexander 7-12 College,Flemington,Upgrade and Modernisation | School Improvement Fund,School upgrades,144.9329636,-37.7820779
Mount Alexander Shire Council Kindergarten Infrastructure Planning Project,,Building Blocks Planning,Early childhood projects,144.1720041,-37.0353437
Mount Beauty Primary School,Mount Beauty,Upgrade and Modernisation | Minor Capital Works Fund,School upgrades,147.1714379,-36.7404885
Mount Beauty Secondary College,Mount Beauty,Capital Works Fund | Minor Capital Works Fund - Round 2,School upgrades,147.1679992,-36.7403182
Mount Clear College,Mount Clear,Upgrade and Modernisation - Stage 1 | Upgrade and Modernisation - Stage 2 | Upgrade and Modernisation - Stage 3,School upgrades,143.8759843,-37.607728
Mount Clear Primary School,Mount Clear,Minor Capital Works Fund,School upgrades,143.8677942,-37.6045495
Mount Dandenong Preschool,Mount Dandenong,Kindergarten on a School Site,Early childhood projects,145.3605219,-37.8276883
Mount Dandenong Primary School,Mount Dandenong,Inclusive Schools Fund,School upgrades,145.3619293,-37.8298884
Mount Duneed Regional Primary School,Mount Duneed,Upgrade and Modernisation – BER Building Refurbishment and Landscaping | Upgrade and Modernisation,School upgrades,144.3195502,-38.2411016
Mount Egerton Primary School,Mount Egerton,Minor Capital Works Fund - Round 2,School upgrades,144.1019888,-37.6282894
Mount Eliza North Primary School,Mount Eliza,Upgrade and Modernisation | Minor Capital Works Fund – 2022–23 State Budget | Minor Capital Works Fund,School upgrades,145.1004047,-38.1881374
Mount Eliza Primary School,Mount Eliza,Permanent Modular School Buildings Program | Inclusive Schools Fund - Round 7,School upgrades,145.0922203,-38.1952658
Mount Eliza Secondary College,Mount Eliza,Schools Upgrade Fund | Minor Capital Works Fund,School upgrades,145.0933481,-38.1899488
Mount Erin Secondary College,Frankston South,Upgrade and Modernisation – next stage | Upgrade and Modernisation,School upgrades,145.1482784,-38.1741874
Mount Lilydale Mercy College,Lilydale,Non-Government Schools Capital Fund,Non-government grants,145.3583484,-37.7505798
Mount Macedon Primary School,Mount Macedon,Inclusive Schools Fund – Round 9 | Upgrade and Modernisation,School upgrades,144.5841985,-37.4048862
Mount Pleasant Kindergarten,Mt Pleasant,Building Blocks Improvement Grant - Upgrade | Early Learning Facility Upgrade,Early childhood projects,143.8540187,-37.5779122
Mount Pleasant Primary School,Ballarat,Inclusive Schools Fund – Round 8 | Minor Capital Works Fund - Round 2 | Minor Capital Works Fund,School upgrades,143.857931,-37.5779826
Mount Pleasant Road Nunawading Primary School,Nunawading,Upgrade and Modernisation – Next Stage | Inclusive Schools Fund,School upgrades,145.1797281,-37.8263232
Mount Ridley P-12 College,Craigieburn,Upgrade and Modernisation,School upgrades,144.9219152,-37.5793182
Mount Rowan Secondary College,Wendouree,Upgrade and Modernisation – New Classrooms | Upgrade and Modernisation - Stage 2 | Upgrade and Modernisation,School upgrades,143.8343728,-37.5193506
Mount St Joseph Girls' College,Altona,Non-Government Schools Capital Fund,Non-government grants,144.8121666,-37.8643677
Mount View Primary School,Glen Waverley,Inclusive Schools Fund,School upgrades,145.1785754,-37.8835253
Mount Waverley Heights Primary School,Mount Waverley,Capital Works Fund | Inclusive Schools Fund - Round 6 | Permanent Modular School Buildings Program,School upgrades,145.1084648,-37.8887868
Mount Waverley Kindergarten,Mount Waverley,Building Blocks Capacity Grant - Expansion,Early childhood projects,145.1277541,-37.875359
Mount Waverley Primary School,Mount Waverley,Upgrade and Modernisation – Block B and the North Building | Inclusive Schools Fund – Round 6,School upgrades,145.1240282,-37.8813256
Mount Waverley Secondary College,Mount Waverley,Upgrade and Modernisation,School upgrades,145.1302444,-37.8653517
Mountain View Children's Centre,,Building Blocks Planning,Early childhood projects,145.8452306,-38.2945793
Movelle Kindergarten,Kings Park,Kindergarten on a School Site,Early childhood projects,144.7748817,-37.7378038
Mt Atkinson Children's and Community Centre,Truganina,Building Blocks Capacity Grant – Integrated Children's Centre,Early childhood projects,144.690966,-37.7651159
Mt Clear Community Kindergarten,Mount Clear,Building Blocks Inclusion Grant - Buildings and Playgrounds,Early childhood projects,143.8683051,-37.6075079
Mt Hira College,Keysborough,Non-Government Schools Capital Fund – 2022–23 | Non-Government Schools Capital Fund,Non-government grants,145.1755357,-38.0142699
Mt Hira Early Learning Centre,Keysborough,New Early Learning Facility,Early childhood projects,145.1777611,-38.0120088
Mt Piper Broadford Family and Children’s Centre,Broadford,Building Blocks Capacity Grant - Expansion | Early Learning Facility Upgrade,Early childhood projects,145.002512,-37.213547
,,Building Fund for Non-Government Schools – Islamic Stream,Non-government grants,143.3906074,-36.9847807
Mulgrave Primary School,Mulgrave,Upgrade and Modernisation – next stage | Upgrade and Modernisation | Inclusive Schools Fund,School upgrades,145.1974953,-37.9326039
Mullauna Secondary College,Mitcham,Upgrade and Modernisation – next stage | Upgrade and Modernisation – Block F | Minor Capital Works Fund | Upgrade and Modernisation,School upgrades,145.1906047,-37.8078953
Mullum Primary School,Ringwood,Permanent Modular School Buildings Program | Upgrade and Modernisation,School upgrades,145.2388717,-37.7981055
Murchison Primary School,Murchison,Inclusive Schools Fund - Round 7,School upgrades,145.2143731,-36.616967
Murnong Community Centre,Donnybrook,Integrated Children's Centre,Early childhood projects,144.9687496,-37.5425658
Murnong Kindergarten,Donnybrook,Kindergarten on a school site,Early childhood projects,144.9687496,-37.5425658
Murrabit Group School,Murrabit,Capital Works Fund,School upgrades,143.950791,-35.529101
Murrayville Community College,Murrayville,Upgrade and Modernisation,School upgrades,141.177597,-35.2656478
Murrayville Early Years Centre,Murrayville,Building Blocks Improvement Grant,Early childhood projects,141.1820782,-35.2646359
Murrindindi Shire Council Kindergarten Infrastructure Planning Project,Alexandra and Yea,Building Blocks Planning Grant,Early childhood projects,145.4242887,-37.2117243
Murrum Primary School,Weir Views,New School,New schools,144.574155,-37.7309665
Murrumbeena Kindergarten,Murrumbeena,Building Blocks Capacity Building Grant - Expansion,Early childhood projects,145.070895,-37.8978307
Murrumbeena Primary School,Murrumbeena,Upgrade and Modernisation | School Pride and Sports Fund,School upgrades,145.0705966,-37.88628750000001
Muyan Primary School,Wallan,New School,New schools,144.9798236,-37.4066923
Muyan Primary School Kindergarten (interim name),Wallan,Kindergarten on a School Site,Early childhood projects,144.9798236,-37.4066923
Myrrhee Primary School,Myrrhee,Minor Capital Works Fund,School upgrades,146.3182315,-36.7382571
Myrtleford P-12 College,Myrtleford,Upgrade and Modernisation,School upgrades,146.7269592,-36.5493354
Nagambie Kindergarten and Early Childhood Service,Nagambie,Early Childhood Refurbishment and Minor Works,Early childhood projects,145.153088,-36.7869309
Nagambie Kindergarten and Early Childhood Service – Nagambie Primary School,Nagambie,Building Blocks Capacity Grant – Modular Kindergarten,Early childhood projects,145.1570719,-36.7877806
Nagambie Primary School,Nagambie,Schools Upgrade Fund | Upgrade and Modernisation,School upgrades,145.1570719,-36.7877806
Nagle College,Bairnsdale,Non-Government Schools Capital Fund,Non-government grants,147.5891194,-37.8372342
Nangiloc Colignan & District Primary School,Nangiloc,Capital Works Fund,School upgrades,142.3581723,-34.4737019
Napoleons Kindergarten,Napoleons,Kindergarten on a School Site,Early childhood projects,143.8317375,-37.671602
Napoleons Primary School,Napoleons,Inclusive Schools Fund - Round 9,School upgrades,143.8259268,-37.6785813
Nar Nar Goon Kindergarten,Nar Nar Goon,Building Blocks Inclusion Grant,Early childhood projects,145.5697272,-38.0826968
Nara Community Early Learning Centre,Preston,Building Blocks Improvement Grant,Early childhood projects,144.9949695,-37.7429058
Naranga School,Frankston,Upgrade and Modernisation | Permanent Modular School Buildings Program,School upgrades,145.162552,-38.1469181
Narrarrang Primary School,Port Melbourne,New School,New schools,144.9279877,-37.8368427
Narrarrang Primary School Kindergarten (interim name),Port Melbourne,Kindergarten on a School Site,Early childhood projects,145.3532224,-38.081985
Narre Warren North Primary School,Narre Warren North,Permanent Modular School Buildings Program | Inclusive Schools Fund,School upgrades,145.3165142,-37.9785589
Narre Warren South P-12 College,Narre Warren South,Inclusive Schools Fund - Round 7 | Upgrade and Modernisation | Shared Facilities Fund,School upgrades,145.2866532,-38.0497453
Nathalia Primary School,Nathalia,Capital Works Fund | Minor Capital Works Fund | Inclusive Schools Fund,School upgrades,145.206238,-36.057734
Nathalia Secondary College,Nathalia,Permanent Modular School Buildings Program,School upgrades,145.2087719,-36.0601349
Natimuk Primary School,Natimuk,Upgrade and Modernisation | School Pride and Sports Fund,School upgrades,141.9507002,-36.7411069
Nazareth College,Noble Park North,Building Fund for Non-Government Schools – Catholic | Non-Government Schools Capital Fund - 2021-22 | Non-Government Schools Capital Fund,Non-government grants,145.1962728,-37.9408701
Nazareth School,Grovedale,Non-Government Schools Capital Fund - 2021-22,Non-government grants,144.3296772,-38.2029631
Nearnung Primary School,Tarneit,New School,New schools,144.684744,-37.8250842
Neerim District Secondary College,Neerim South,Permanent Modular School Buildings Program,School upgrades,145.9567149,-38.0176954
Nelson Park School,Bell Park,Upgrade and Modernisation – final stage | Upgrade and Modernisation – next stage | Inclusive Schools Fund – Round 7 | Upgrade and Modernisation,School upgrades,144.3378403,-38.1142223
Nepean Special School,Seaford,Schools Upgrade Fund | Upgrade and Modernisation – Next Stage | Upgrade and Modernisation | Inclusive Schools Fund,School upgrades,145.1426276,-38.1196764
Ness Reserve Preschool,Diamond Creek,Early Childhood Refurbishment and Minor Works,Early childhood projects,145.1527454,-37.6706565
New Catholic Primary School (Delacombe),Delacombe,Building Fund for Non-Government Schools – Catholic,Non-government grants,143.8183092,-37.5789071
New Catholic Primary School (Tarneit),Tarneit,Building Fund for Non-Government Schools – Catholic,Non-government grants,144.6722205,-37.8362006
New Catholic Primary School (Wyndham Vale),Wyndham Vale,Building Fund for Non-Government Schools – Catholic,Non-government grants,144.6091399,-37.8952921
New Gisborne Primary School,New Gisborne,"Upgrade and Modernisation - Music Rooms, Oval Upgrade and Outdoor Learning Areas | Upgrade and Modernisation - Art Room",School upgrades,144.5963971,-37.462796
Newborough East Primary School,Newborough,Schools Upgrade Fund | Inclusive Schools Fund - Round 6 | Minor Capital Works Fund,School upgrades,146.2933959,-38.1786804
Newborough Primary School,Newborough,Minor Capital Works Fund | Permanent Modular School Buildings Program,School upgrades,146.2927198,-38.1886835
,,,"New schools, School upgrades",143.3906074,-36.9847807
Newcomb Primary School,Newcomb,Schools Upgrade Fund | Upgrade and Modernisation,School upgrades,144.3950192,-38.1649763
Newcomb Secondary College,Newcomb,Shared Facilities Fund | Upgrade and Modernisation | Inclusive Schools Fund,School upgrades,144.3943784,-38.1708469
Newhaven College Early Years Centre - Littlehaven (interim name),Rhyll,Building Blocks Planning Grant,Early childhood projects,145.2690258,-38.4881947
Newhaven Kindergarten,Newhaven,Kindergarten on a School Site,Early childhood projects,145.3559429,-38.5133085
Newhaven Primary School,Newhaven,Minor Capital Works Fund,School upgrades,145.356727,-38.513108
Newhope Baptist Preschool,Blackburn,Early Learning Facility Upgrade,Early childhood projects,145.1413994,-37.8085053
Newington Primary School (previously Urquhart Park),Ballarat,Permanent Modular School Buildings Program,School upgrades,143.8312077,-37.56589779999999
Newlands Primary School,Preston,Upgrade and Modernisation | Upgrade and Modernisation,School upgrades,144.9855286,-37.7298753
Newport Gardens Early Years Centre,Newport,Building Blocks Capacity Grant - Expansion,Early childhood projects,144.8684844,-37.8464546
Newport Gardens Primary School,Newport,Inclusive Schools Fund,School upgrades,144.8686456,-37.8452005
Newport Lakes Primary School,Newport,Upgrade and Modernisation,School upgrades,144.8784434,-37.8380606
Newstead Primary School,Newstead,Upgrade and Modernisation,School upgrades,144.067755,-37.106037
Newtown Primary School,Newtown,Upgrade and Modernisation | School Pride and Sports Fund,School upgrades,144.3371344,-38.145857
Nganboo Borron School,Werribee,New School,New schools,144.6041837,-37.9080099
Ngarri Primary School,Manor Lakes,New School,New schools,144.5844809,-37.8666059
Ngayuk College,Kalkallo,New School,New schools,144.9595481,-37.5294394
Ngurraga School,Werribee South,New School,New schools,144.689209,-37.9446946
Nhill College Kindergarten,Nhill,Building Blocks Capacity Grant – Modular Kindergarten | Early Learning Facility Upgrade,Early childhood projects,141.6588134,-36.3322486
Nhill Lutheran School,Nhill,Non-Government Schools Capital Fund - 2022–23,Non-government grants,141.6620788,-36.3276863
Nichols Point Primary School,Nichols Point,Minor Capital Works Fund,School upgrades,142.204544,-34.2087821
Nicholson Primary School,Nicholson,School Pride and Sports Fund,School upgrades,147.7481596,-37.8156663
Niddrie Autistic School,Niddrie,Upgrade and Modernisation,School upgrades,144.8877159,-37.7441796
Niddrie Primary School,Niddrie,Upgrade and Modernisation | School Pride and Sports Fund,School upgrades,144.878026,-37.7306787
Nillumbik Shire Council Kindergarten Infrastructure Planning Project,,Building Blocks Planning Grant,Early childhood projects,145.2701235,-37.597667
Nilma Primary School,Nilma,Inclusive Schools Fund - Round 6,School upgrades,145.9742006,-38.1661235
Noble Park English Language School,Noble Park,Permanent Modular School Buildings Program,School upgrades,145.1790379,-37.9706877
Noble Park Secondary College,Noble Park,Schools Upgrade Fund | Upgrade and Modernisation,School upgrades,145.183857,-37.97044289999999
Norfolk Street Childcare Centre,Yarraville,Building Blocks Improvement Grant,Early childhood projects,144.892627,-37.8203679
Norlane West Kindergarten,Norlane,Building Blocks Inclusion Grant - Buildings and Playgrounds,Early childhood projects,144.3426292,-38.08856979999999
Norris Bank Primary School,Bundoora,Planning for an Upgrade and Modernisation | Schools Upgrade Fund | Inclusive Schools Fund,"Planning projects, School upgrades",145.0425221,-37.6943429
North Bendigo Kindergarten,Bendigo,Early Learning Facility Upgrade,Early childhood projects,144.2826043,-36.7418966
North Brighton Children’s Centre,Brighton,Building Blocks Capacity Building Grant - Expansion,Early childhood projects,145.0001925,-37.89135
North Carlton Childrens Centre,Carlton North,Early Childhood Refurbishment and Minor Works,Early childhood projects,144.9746497,-37.7850076
North Cheltenham Preschool,Cheltenham,Building Blocks Capacity Grant - Expansion,Early childhood projects,145.0664144,-37.9598884
North Geelong Secondary College,North Geelong,Upgrade and Modernisation,School upgrades,144.3408864,-38.1098188
North Maidstone Kindergarten,Maidstone,Building Blocks Improvement Grant – Early Learning Facility Upgrade,Early childhood projects,144.8731434,-37.7822634
North Melbourne Childrens Centre,North Melbourne,Building Blocks Improvement Grant,Early childhood projects,144.9541319,-37.8044999
North Melbourne Primary School,North Melbourne,New school campus – Molesworth Street campus | Minor Capital Works Fund – Errol Street campus,"New schools, School upgrades",144.9511969,-37.7987439
Northcote High School,Northcote,Upgrade and Modernisation - next stage | Upgrade and Modernisation - Performance Hub,School upgrades,144.9895388,-37.7741646
Northcote Primary School,Northcote,Upgrade and Modernisation,School upgrades,144.996436,-37.771781
Northern Bay College Early Learning Centre,Corio,Building Blocks Inclusion Grant - Building and Playgrounds,Early childhood projects,144.3545257,-38.0782054
Northern Bay P-12 College,Corio,Upgrade and Modernisation – Goldsworthy Road Campus | Minor Capital Works Fund – Goldsworthy Road Campus | Upgrade and Modernisation,School upgrades,144.3674359,-38.0708689
Northern College of the Arts and Technology,Preston,Upgrade and Modernisation,School upgrades,145.0262368,-37.74035569999999
Northern School For Autism,Reservoir,Upgrade and Modernisation - Lalor Campus | Upgrade and Modernisation - Reservoir Campus,School upgrades,145.0306081,-37.7001136
Northside Christian College,Bundoora,Non-Government Schools Capital Fund - 2020-21,Non-government grants,145.0547063,-37.6947786
Norwood Secondary College,Ringwood,Upgrade and Modernisation – Next Stage | Permanent Modular School Buildings Program | Upgrade and Modernisation,School upgrades,145.2383335,-37.7991053
Nossal High School,Berwick,Minor Capital Works Fund,School upgrades,145.3359585,-38.0390425
Notre Dame College,Shepparton,Non-Government Schools Capital Fund,Non-government grants,145.4076203,-36.3747763
Nullawarre and District Primary School,Nullawarre,Inclusive Schools Fund – Round 8 | Minor Capital Works Fund,School upgrades,142.7343874,-38.4668964
Nullawil Primary School,Nullawil,Minor Capital Works Fund,School upgrades,143.1783875,-35.8533006
Numurkah Primary School,Numurkah,Minor Capital Works Fund,School upgrades,145.444705,-36.090235
Nunawading Christian College Early Learning Centre,Nunawading,Early Childhood Refurbishment and Minor Works | Building Blocks Improvement Grant - Early Learning Facility Upgrade,Early childhood projects,145.1700753,-37.8219382
Nunawading Christian College – Primary,Nunawading,Non-Government Schools Capital Fund - 2022–23,Non-government grants,145.1687489,-37.8226789
Nunawading Christian College – Secondary,Nunawading,Non-Government Schools Capital Fund – 2021-22,Non-government grants,145.1687489,-37.8226789
Nungurner Primary School,Nungurner,Inclusive Schools Fund - Round 6 | Minor Capital Works Fund,School upgrades,147.8883361,-37.8657608
Nyah District Primary School,Nyah West,Inclusive Schools Fund - Round 7,School upgrades,143.3430633,-35.1858482
Oak Park Kindergarten,Oak Park,Building Blocks Partnership,Early childhood projects,144.9122851,-37.7160055
Oak Street Kindergarten,Drouin,Building Blocks Improvement Grant - Early Learning Facility Upgrade,Early childhood projects,145.8553009,-38.1372146
Oakhill Family Centre,Reservoir,Building Blocks Inclusion Grant,Early childhood projects,145.0105747,-37.7201236
Oakleigh Education Plan,,Education Plan,Planning projects,145.091857,-37.9016644
Oakleigh Grammar,Oakleigh,Non-Government Schools Capital Fund,Non-government grants,145.0826257,-37.8962145
Oakleigh Primary School,Oakleigh,Upgrade and Modernisation - Next Stage | Upgrade and Modernisation | Upgrade and Modernisation - Kindergarten,"School upgrades, Early childhood projects",145.0885664,-37.8949033
Oakleigh South Child and Family Hub,Oakleigh South,Building Blocks Capacity Grant – Expansion | Building Blocks Planning,Early childhood projects,145.0932218,-37.9106291
Oakleigh South Primary School,Oakleigh South,Upgrade and Modernisation,School upgrades,145.0954705,-37.9229739
Oakwood Park Primary School,Noble Park North,School Improvement Fund,School upgrades,145.190322,-37.961336
